stable_id,csv_display_name,csv_year_or_era,csv_image,csv_bio_url,repo_name,repo_year,repo_slug,wordpress_name,wordpress_year,wordpress_slug,live_name,live_visible,live_link_status,original_bio_file_match,original_bio_word_count,original_photo_file_match,original_photo_requires_visual_verification,canonical_bio_candidate,canonical_photo_candidate,biography_source_confidence,portrait_source_confidence,original_to_wordpress_text_similarity,prior_content_blocked,prior_media_blocked,remaining_biography_content_blocker,remaining_media_blocker,remaining_incomplete_biography,remaining_identity_content_blocker,remaining_blockers,recommended_migration_lane,reviewer_notes
jrhof-wp-3033,Al Raglin,2004,Al_Raglin.jpg,https://jrhof.org/inductees/al_raglin/,Al Raglin,2004,Al_Raglin,Al_Raglin,2004,al_raglin,Al Raglin,True,no_link,content/Bios/Al_Raglin.docx,229,content/Photos/Al_Raglin.jpg,False,content/Bios/Al_Raglin.docx,content/Photos/Al_Raglin.jpg,high,high,0.9642,False,False,False,False,False,False,live_archive_link,auto_prep_link_fix,Original source files map cleanly.
jrhof-wp-3000,Arny Karraker,2008,Arny_Karraker.jpg,https://jrhof.org/inductees/arny_karraker/,Arny Karraker,2008,Arny_Karraker,Arny_Karraker,2008,arny_karraker,Arny Karraker,True,no_link,content/Bios/Arny_Karraker.docx,280,content/Photos/Arny_Karraker.jpg,False,content/Bios/Arny_Karraker.docx,content/Photos/Arny_Karraker.jpg,high,high,0.9727,False,False,False,False,False,False,live_archive_link,auto_prep_link_fix,Original source files map cleanly.
jrhof-wp-3034,Art Wollenweber,1991,Art_Wollenweber.jpg,https://jrhof.org/inductees/art_wollenweber/,Art Wollenweber,1991,Art_Wollenweber,Art Wollenweber,1991,art_wollenweber,Art Wollenweber,True,links_to_bio,content/Bios/Art_Wollenweber.docx,365,content/Photos/Art_Wollenweber.jpg,False,content/Bios/Art_Wollenweber.docx,content/Photos/Art_Wollenweber.jpg,high,high,0.7279,False,False,False,False,False,False,,safe_candidate,Original source files map cleanly.
jrhof-wp-1227,Bert Borgman,2024,Bert _Borgman.jpg,https://jrhof.org/inductees/bert_borgmann/,Bert Borgmann,2024,Bert_Borgmann,Bert Borgmann,2024,bert_borgmann,Bert Borgmann,True,links_to_bio,content/Bios/Borgmann.docx,313,content/Photos/Bert_Borgmann.jpg,False,content/Bios/Borgmann.docx,content/Photos/Bert_Borgmann.jpg,high,high,0.9752,True,False,False,False,False,False,display_name_review,source_resolved_candidate,Original source files map cleanly.
jrhof-wp-2969,Bill Fanning,1991,Bill_Fanning.jpg,https://jrhof.org/inductees/william_bill_fanning/,"William ""Bill"" Fanning",1991,William_Bill_Fanning,"William ""Bill"" Fanning",1991,william_bill_fanning,Bill Fanning,True,links_to_bio,content/Bios/William_Bill_Fanning.docx,479,content/Photos/Bill_Fanning.jpg,False,content/Bios/William_Bill_Fanning.docx,content/Photos/Bill_Fanning.jpg,high,high,0.6359,True,False,False,False,False,False,,source_resolved_candidate,Original source files map cleanly.
jrhof-wp-2978,Bill Helman,1991,Bill_Helman.jpg,https://jrhof.org/inductees/bill_helman/,Bill Helman,1991,Bill_Helman,Bill Helman,1991,bill_helman,Bill Helman,True,links_to_bio,content/Bios/Bill_Helman.docx,559,content/Photos/Bill_Helman.jpg,False,content/Bios/Bill_Helman.docx,content/Photos/Bill_Helman.jpg,high,high,0.6499,True,False,False,False,False,False,,source_resolved_candidate,Original source files map cleanly.
jrhof-wp-3025,Bill Lind,1999,Bill_Lind.jpg,https://jrhof.org/inductees/bill_lind/,Bill Lind,1999,Bill_Lind,Bill Lind,1999,bill_lind,Bill Lind,True,links_to_bio,content/Bios/Bill_Lind.docx,333,,,content/Bios/Bill_Lind.docx,,high,none,0.4968,False,True,False,True,False,False,portrait/media,media_blocked,Review remaining source gaps and prior audit notes.
jrhof-wp-3099,Bill Vincent,1990,Bill_Vincent.jpg,https://jrhof.org/inductees/bill_vincent/,Bill Vincent,1990,Bill_Vincent,Bill Vincent,1990,bill_vincent,Bill Vincent,True,links_to_bio,content/Bios/Bill_Vincent.docx,341,content/Photos/Bill_Vincent.jpg,False,content/Bios/Bill_Vincent.docx,content/Photos/Bill_Vincent.jpg,high,high,0.6975,False,False,False,False,False,False,,safe_candidate,Original source files map cleanly.
jrhof-wp-3039,Bob Ferguson,1999,Bob_Ferguson.jpg,https://jrhof.org/inductees/bob_ferguson/,Bob Ferguson,1999,Bob_Ferguson,Bob Ferguson,1999,bob_ferguson,Bob Ferguson,True,links_to_bio,content/Bios/Bob_Ferguson.docx,422,,,content/Bios/Bob_Ferguson.docx,,high,none,0.0407,False,True,False,True,False,False,portrait/media,media_blocked,Review remaining source gaps and prior audit notes.
jrhof-wp-3065,Bob Jones,2013,Bob_Jones.jpg,https://jrhof.org/inductees/bob_jones/,Bob Jones,2013,Bob_Jones,Bob Jones,2013,bob_jones,Bob Jones,True,links_to_bio,content/Bios/Bob_Jones.docx,638,content/Photos/Bob_Jones.jpg,False,content/Bios/Bob_Jones.docx,content/Photos/Bob_Jones.jpg,high,high,0.2532,True,False,False,False,False,False,,source_resolved_candidate,Original source files map cleanly.
