page_url,category,severity,issue,evidence,recommended_disposition
https://jrhof.org/,stale-event,high,"Homepage promotes the January 31, 2026 banquet as a latest event after it occurred.",Homepage latest-events section links the 2026 banquet.,Archive the banquet and remove active registration framing.
https://jrhof.org/2026-hof-induction-banquet/,broken-field,critical,"Banquet Time renders as '31, 2026'.","Rendered Event Details show Date: Saturday, January 31, 2026; Time: 31, 2026.",Correct from approved source before migration; do not preserve this field.
https://jrhof.org/2026-hof-induction-banquet/,eventbrite,high,Past banquet still exposes two active-looking Eventbrite Register Now links.,Both CTAs point to Eventbrite event 1948078227419.,Remove registration CTA and retain an archive page.
https://jrhof.org/2026-hof-induction-banquet/,countdown,medium,"Expired countdown renders 0 days, hours, minutes, and seconds.",Rendered page shows four zero counters.,Replace with archive state.
https://jrhof.org/2026-hof-induction-banquet/,comments,medium,Public comment submission form is enabled on an event registration/archive page.,Form posts to wp-comments-post.php.,Do not migrate comments or comment form unless the board explicitly approves moderation.
https://jrhof.org/2026-hof-golf-tournament/,eventbrite,high,Primary golf registration exits to Eventbrite.,Two Register Now CTAs point to Eventbrite event 1985644019715.,"Capture Eventbrite form/history, then replace in later native-registration phase."
https://jrhof.org/2026-hof-golf-tournament/,stripe-fragmentation,high,"Raffle, mulligan, and donation purchases use three separate Stripe-hosted links outside registration.",Two buy.stripe.com links and one donate.stripe.com link are rendered.,Preserve product evidence; consolidate only in later payment implementation.
https://jrhof.org/2026-hof-golf-tournament/,sponsor-leak,critical,A sponsor inquiry is handled in public comments and answered with a personal email address.,Public comment asks how to buy a hole sponsorship/foursome; reply directs the visitor to a personal MSN address.,Create board-approved sponsor packages/contact funnel later; remove this pattern from migration.
https://jrhof.org/2026-hof-golf-tournament/,comments,high,Public comments are functioning as an unstructured sponsor support channel.,Two public responses and a comment submission form are visible.,Do not migrate comments; preserve required sponsor lead information separately.
https://jrhof.org/2026-hof-golf-tournament/,countdown,high,Golf countdown renders all zeros before the June 27 event date.,Rendered page shows 0 days/hours/minutes/seconds during validation.,Fix event-state logic in a later implementation; do not copy current widget.
https://jrhof.org/events/,sponsor-conversion,high,Events page thanks sponsors/donors but offers no sponsor package or sponsor inquiry CTA.,Only generic thanks and Donate Now are rendered.,Obtain board-approved sponsor packages before building sponsor funnel.
https://jrhof.org/events/,comments,medium,"Events listing advertises comment counts, drawing attention away from registration and sponsorship.",2026 golf card displays '2 COMMENTS'.,Remove comment metadata in future migration.
https://jrhof.org/donate/,stripe,medium,One-time and monthly donation CTAs leave the site for Stripe-hosted Payment Links.,Donate Once and Give Monthly point to donate.stripe.com.,Retain as current payment evidence; validate later donation architecture separately.
https://jrhof.org/donate/,trust,high,"Donation page lacks EIN, board/stewardship detail, quantified impact, and explicit tax-receipt expectations.",Page has generic nonprofit and tax-deductibility language only.,Board/legal review before Ad Grants or donation-funnel implementation.
https://jrhof.org/donate/,content-quality,low,History-preservation bullet is duplicated.,The same preservation statement appears twice in Donations directly support list.,Deduplicate during content approval.
https://jrhof.org/contact/,conversion,medium,Contact page combines contact and newsletter subscription forms without a focused campaign conversion.,Rendered page includes Send Message and Subscribe forms.,Separate campaign intent in future landing pages.
https://jrhof.org/*,login-ui,medium,Public Login account-modal link appears sitewide without a documented public account purpose.,"Observed on homepage, events, banquet, golf, donate, contact, inductee archive, and inductee detail page.",Do not migrate public login UI unless a board-approved member feature exists.
https://jrhof.org/,ad-grants,high,"Homepage is broad and mixes mission, inductees, current/past events, and donation CTAs.",No single campaign intent or conversion path.,Not suitable as primary Ad Grants landing page without focused variants.
https://jrhof.org/events/,ad-grants,high,Events page mixes current and archived content and lacks direct native conversion.,Registration exits to Eventbrite and sponsorship has no CTA.,Poor Ad Grants landing page until event-specific funnels exist.
https://jrhof.org/2026-hof-induction-banquet/,ad-grants,critical,Past event page has broken time data and stale registration.,"Expired date, malformed Time, active-looking Eventbrite CTAs.",Never use as an Ad Grants landing page in current state.
https://jrhof.org/2026-hof-golf-tournament/,ad-grants,high,"Golf page fragments registration, add-ons, donations, and sponsorship across external/manual channels.","Eventbrite, multiple Stripe links, and sponsor handling through comments.",Poor Ad Grants landing page until one measurable funnel exists.
https://jrhof.org/donate/,ad-grants,medium,Donation page has a clear ask but insufficient trust/impact proof for paid acquisition.,"No EIN, board/stewardship details, or impact metrics.",Board-review trust content before paid campaign use.
https://jrhof.org/contact/,ad-grants,medium,Generic contact/newsletter page lacks campaign-specific content and conversion definition.,Two unrelated forms share the page.,Use focused landing pages instead.
