source_type,source_path,filename,matched_roster_name,match_score,classification,notes
biography,content/Bios/Al_Raglin.docx,Al_Raglin.docx,Al Raglin,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Arny_Karraker.docx,Arny_Karraker.docx,Arny Karraker,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Art_Wollenweber.docx,Art_Wollenweber.docx,Art Wollenweber,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Bert_Borgmann.docx,Bert_Borgmann.docx,Bert Borgman,1.0,duplicate_candidate,Multiple original biography files map to this roster record; compare versions before canonicalization.
biography,content/Bios/Bill_Helman.docx,Bill_Helman.docx,Bill Helman,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Bill_Lind.docx,Bill_Lind.docx,Bill Lind,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Bill_Vincent.docx,Bill_Vincent.docx,Bill Vincent,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Bob_Ferguson.docx,Bob_Ferguson.docx,Bob Ferguson,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Bob_Jones.docx,Bob_Jones.docx,Bob Jones,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Bob_Meisner.docx,Bob_Meisner.docx,Bob Meisner,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Bob_Mullerberg.docx,Bob_Mullerberg.docx,Bob Mullerberg,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Bob_Ottewill.docx,Bob_Ottewill.docx,Bob Ottewill,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Bob_Westhoff.docx,Bob_Westhoff.docx,Bob Westhoff,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Boody.docx,Boody.docx,Manual Boody,1.0,duplicate_candidate,Multiple original biography files map to this roster record; compare versions before canonicalization.
biography,content/Bios/Borgmann.docx,Borgmann.docx,Bert Borgman,1.0,duplicate_candidate,Multiple original biography files map to this roster record; compare versions before canonicalization.
biography,content/Bios/Bruce_Bradshaw.docx,Bruce_Bradshaw.docx,Bruce Bradshaw,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Bruce_Grigsby.docx,Bruce_Grigsby.docx,Bruce Grigsby,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Bud_Best.docx,Bud_Best.docx,Bud Best,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Bud_Schoepflin.docx,Bud_Schoepflin.docx,Bud Schoepflin,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Burns.docx,Burns.docx,Mitchell Burns,1.0,duplicate_candidate,Multiple original biography files map to this roster record; compare versions before canonicalization.
