stable_id,display_name,production_url,astro_url,bio_status,portrait_status,uses_default_missing_image,formatting_status,paragraph_quality,title_class_display_status,review_notice_status,mobile_readability_status,recommended_action,priority,notes
jrhof-wp-2977,Terry Angell,https://jrhof.org/inductees/terry_angell/,https://jrhof.org/inductees/terry_angell/,complete_biography,verified_candidate,false,good,good,pass,source_review_notice_visible,pass_layout,remove_public_source_notice|keep_content_simplify_template,medium,paragraphs=17; words=1018; Original source files map cleanly.
jrhof-wp-3064,George Demetriou,https://jrhof.org/inductees/george_demetriou/,https://jrhof.org/inductees/george_demetriou/,complete_biography,verified_candidate,false,good,good,pass,source_review_notice_visible,pass_layout,remove_public_source_notice|keep_content_simplify_template,medium,paragraphs=14; words=1129; Original source files map cleanly.
jrhof-wp-3101,Fred Zuercher,https://jrhof.org/inductees/fred_zuercher/,https://jrhof.org/inductees/fred_zuercher/,complete_biography,verified_candidate,false,good,good,pass,source_review_notice_visible,pass_layout,remove_public_source_notice|keep_content_simplify_template,medium,paragraphs=18; words=1306; Original source files map cleanly.
jrhof-wp-771,Ray Belfiore,https://jrhof.org/inductees/ray_belfiore/,https://jrhof.org/inductees/ray_belfiore/,complete_biography,verified_candidate,false,good,good,pass,source_review_notice_visible,pass_layout,remove_public_source_notice|keep_content_simplify_template,medium,paragraphs=19; words=459; Original source files map cleanly.
jrhof-wp-1109,Steve Heuer,https://jrhof.org/inductees/steve_heuer/,https://jrhof.org/inductees/steve_heuer/,complete_biography,verified_candidate,false,good,good,pass,source_review_notice_visible,pass_layout,remove_public_source_notice|keep_content_simplify_template,medium,paragraphs=8; words=383; Original source files map cleanly.
jrhof-wp-1142,Terry Reed,https://jrhof.org/inductees/terry_reed/,https://jrhof.org/inductees/terry_reed/,complete_biography,verified_candidate,false,good,good,pass,source_review_notice_visible,pass_layout,remove_public_source_notice|keep_content_simplify_template,medium,paragraphs=12; words=469; Original source files map cleanly.
jrhof-wp-1227,Bert Borgman,https://jrhof.org/inductees/bert_borgmann/,https://jrhof.org/inductees/bert_borgmann/,complete_biography,verified_candidate,false,good,good,pass,board_and_source_review_notices_visible,pass_layout,human_review_before_launch|remove_public_source_notice,high,paragraphs=8; words=319; Original source files map cleanly.
jrhof-wp-1235,Jim Paronto,https://jrhof.org/inductees/jim_paronto/,https://jrhof.org/inductees/jim_paronto/,complete_biography,verified_candidate,false,good,good,pass,source_review_notice_visible,pass_layout,remove_public_source_notice|keep_content_simplify_template,medium,paragraphs=5; words=377; Original source files map cleanly.
jrhof-wp-1237,Tom Robinson,https://jrhof.org/inductees/tom_robinson/,https://jrhof.org/inductees/tom_robinson/,complete_biography,verified_candidate,false,good,good,pass,source_review_notice_visible,pass_layout,remove_public_source_notice|keep_content_simplify_template,medium,paragraphs=10; words=456; Original source files map cleanly.
jrhof-wp-1231,Dan Weikle,https://jrhof.org/inductees/dan_weikle/,https://jrhof.org/inductees/dan_weikle/,complete_biography,verified_candidate,false,likely_paragraph_merge,needs_paragraph_restoration,pass,source_review_notice_visible,readable_but_long_merged_paragraph,restore_paragraph_breaks|remove_public_source_notice,high,paragraphs=1; words=603; Original source files map cleanly.
